2018-01-18 13:07:32.915 [main] INFO  org.eclipse.jetty.server.Server - jetty-8.1.14.v20131031
2018-01-18 13:07:33.368 [main] INFO  / - Initializing Spring root WebApplicationContext
2018-01-18 13:07:33.368 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
2018-01-18 13:07:33.587 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Jan 18 13:07:33 CST 2018]; root of context hierarchy
2018-01-18 13:07:33.659 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/F:/MDN/scm/target/classes/applicationContext.xml]
2018-01-18 13:07:34.452 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/F:/MDN/scm/target/classes/shiro/applicationContext-shiro.xml]
2018-01-18 13:07:34.499 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'customSessionListener': replacing [Generic bean: class [com.mdni.scm.shiro.listener.CustomSessionListener]; scope=singleton; abstract=false; lazyInit=true; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [F:\MDN\scm\target\classes\com\mdni\scm\shiro\listener\CustomSessionListener.class]] with [Generic bean: class [com.mdni.scm.shiro.listener.CustomSessionListener]; scope=; abstract=false; lazyInit=true; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [file:/F:/MDN/scm/target/classes/shiro/applicationContext-shiro.xml]]
2018-01-18 13:07:35.187 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from URL [file:/F:/MDN/scm/target/classes/application.properties]
2018-01-18 13:07:35.361 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.AnnotationCacheOperationSource#0' of type [class org.springframework.cache.annotation.AnnotationCacheOperationSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-01-18 13:07:35.365 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.config.internalCacheAdvisor' of type [class org.springframework.cache.interceptor.BeanFactoryCacheOperationSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-01-18 13:07:35.371 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
